Type,Title,ID,jp,eng,Furigana,Image,Sound,Update
Anime,A Silent Voice,A-KoenoKatachi0001,今まで　お世話になりました,Thank you for everything.,今[いま]までお 世話[せわ]になりました,"<img src=""KoenoKatachi_1_0.1.09.553.jpg"">",[sound:KoenoKatachi_1_0.1.08.635-0.1.10.470.mp3],
Anime,A Silent Voice,A-KoenoKatachi0002,全部で三万くらいっすね,"That'll get you around 30,000 yen in total.",全部[ぜんぶ]で 三万[さんばん]くらいっすね,"<img src=""KoenoKatachi_1_0.1.13.223.jpg"">",[sound:KoenoKatachi_1_0.1.11.805-0.1.14.641.mp3],
Anime,A Silent Voice,A-KoenoKatachi0003,全部　下ろします,Empty the account.,全部[ぜんぶ] 下[お]ろします,"<img src=""KoenoKatachi_1_0.1.18.478.jpg"">",[sound:KoenoKatachi_1_0.1.17.977-0.1.18.978.mp3],
Anime,A Silent Voice,A-KoenoKatachi0004,みんな席に着け,"Take your seats, class.",みんな 席[せき]に 着[つ]け,"<img src=""KoenoKatachi_1_0.3.56.449.jpg"">",[sound:KoenoKatachi_1_0.3.55.635-0.3.57.262.mp3],
Anime,A Silent Voice,A-KoenoKatachi0005,今日から新しい仲間が増えるぞ,We have a new friend joining us today.,今日[きょう]から 新[あたら]しい 仲間[なかま]が 増[ふ]えるぞ,"<img src=""KoenoKatachi_1_0.4.00.703.jpg"">",[sound:KoenoKatachi_1_0.3.58.972-0.4.02.433.mp3],
Anime,A Silent Voice,A-KoenoKatachi0006,やったじゃん　(石田)　女子だって,"Lucky you, Ishida. It's a girl.",やったじゃん ( 石田[いしだ]) 女子[じょし]だって,"<img src=""KoenoKatachi_1_0.4.10.087.jpg"">",[sound:KoenoKatachi_1_0.4.08.690-0.4.11.484.mp3],
Anime,A Silent Voice,A-KoenoKatachi0007,興味ねし,You think I care?,興味[きょうみ]ねし,"<img src=""KoenoKatachi_1_0.4.14.133.jpg"">",[sound:KoenoKatachi_1_0.4.13.152-0.4.15.113.mp3],
Anime,A Silent Voice,A-KoenoKatachi0008,いいか？,Listen up.,いいか？,"<img src=""KoenoKatachi_1_0.4.29.023.jpg"">",[sound:KoenoKatachi_1_0.4.28.376-0.4.29.669.mp3],
Anime,A Silent Voice,A-KoenoKatachi0009,じゃあ　まず　自己紹介して,"Okay, introduce yourself.",じゃあまず 自己紹介[じこしょうかい]して,"<img src=""KoenoKatachi_1_0.4.31.442.jpg"">",[sound:KoenoKatachi_1_0.4.29.961-0.4.32.922.mp3],
Anime,A Silent Voice,A-KoenoKatachi0010,はい　よろしくね,There. Nice to meet you.,はいよろしくね,"<img src=""KoenoKatachi_1_0.5.42.575.jpg"">",[sound:KoenoKatachi_1_0.5.41.407-0.5.43.743.mp3],
Anime,A Silent Voice,A-KoenoKatachi0011,あ　(西宮)さんって　日本語しゃべれるの？,"Hey, can you speak Japanese?",あ ( 西宮[にしみや])さんって 日本語[にほんご]しゃべれるの？,"<img src=""KoenoKatachi_1_0.5.46.162.jpg"">",[sound:KoenoKatachi_1_0.5.44.077-0.5.48.247.mp3],
Anime,A Silent Voice,A-KoenoKatachi0012,もう　(直)ちゃん言い方,"Watch your mouth, Nao.",もう ( 直[なお])ちゃん 言い方[いいかた],"<img src=""KoenoKatachi_1_0.5.49.686.jpg"">",[sound:KoenoKatachi_1_0.5.48.372-0.5.51.000.mp3],
Anime,A Silent Voice,A-KoenoKatachi0013,えっと…　ハハッ,Uh… Oh.,えっと…ハハッ,"<img src=""KoenoKatachi_1_0.5.53.670.jpg"">",[sound:KoenoKatachi_1_0.5.52.543-0.5.54.796.mp3],
Anime,A Silent Voice,A-KoenoKatachi0014,何て　呼ばれてるの？,Do you have a nickname?,何[なん]て 呼[よ]ばれてるの？,"<img src=""KoenoKatachi_1_0.6.00.593.jpg"">",[sound:KoenoKatachi_1_0.5.58.257-0.6.02.929.mp3],
Anime,A Silent Voice,A-KoenoKatachi0015,(石田)と一緒じゃん,"Same as Ishida, then.",( 石田[いしだ])と 一緒[いっしょ]じゃん,"<img src=""KoenoKatachi_1_0.6.09.164.jpg"">",[sound:KoenoKatachi_1_0.6.08.267-0.6.10.061.mp3],
Anime,A Silent Voice,A-KoenoKatachi0016,(しょー)ちゃんだって,Her nickname's Sho.,(しょー)ちゃんだって,"<img src=""KoenoKatachi_1_0.6.10.979.jpg"">",[sound:KoenoKatachi_1_0.6.10.144-0.6.11.813.mp3],
Anime,A Silent Voice,A-KoenoKatachi0017,いいですねぇ,Nice.,いいですね,"<img src=""KoenoKatachi_1_0.6.12.522.jpg"">",[sound:KoenoKatachi_1_0.6.11.938-0.6.13.106.mp3],
Anime,A Silent Voice,A-KoenoKatachi0018,はあ？　よくねえわ,What? Not nice.,はあ？　よくねえわ,"<img src=""KoenoKatachi_1_0.6.14.190.jpg"">",[sound:KoenoKatachi_1_0.6.13.231-0.6.15.149.mp3],
