kanji,romaji,levels,example,translation,mnemonic
クッキ,くっき,{},Eat cookies!,Cookie,
黒板,こくばん,{'板': 29.0},Please look at the blackboard,Blackboard,"These boards are now being sold to Han (はん) Solo, who's wearing Ray-Ban (ばん) sunglasses, and who's going to smuggle them all over the universe."
寝る,ねる,{'寝': 22.0},Please sleep!,Sleep,"While wolverine sleeps, he makes a horrible neighing (ね) sound. It's like there's a giant horse in his mouth screaming to get out! NEIGH NEIGH!"
テレビ,てれび,{},I'm watching TV (now).,TV,
痩せる,やせる,{'痩': 34.0},(Please) lose weight,To get thin,"If you want to get thin, just join the Yankees (や). They run their players around those four bases so much they all get thin quicker than you can throw a ball."
英語,えいご,{'英': 15.0},I'm teaching English in Tokyo,English,"ei: You keep walking to the very central center of England and see a giant acorn (えい) planted in the middle of the ground. This acorn is the source of all the flowers and life in England." 
コーヒー,こーひー,{},I've been buying coffee everyday,Coffee,
彼,かれ,{'彼': 35.0},Meet my boyfriend!,Boyfriend,"He says the only way he will stop beating you up is if you give him some curry (かれ). You give him some curry."
彼女,かのじょ,{'彼': 35.0},Meet my girlfriend!,Girlfriend,"The reading for this is a bit weird, at least for the 彼 portion. Just think about how she (your girlfriend) is a canoe (かの), and you love that canoe girlfriend more than anything. She is your best friend and your lover, and everyone thinks you're weird. Imagine everyone thinking you're weird as you give kisses to your canoe girlfriend."
バス,ばす,{},I'm waiting for a bus,Bus,
取る,とる,{'取': 16.0},Please take it (from there),To take,"You're the kind of person who likes to take things. "What things?" you ask. Little toes (と). Because that isn't creepy."
塩,しお,{'塩': 17.0},Please pass (take) me the salt,Salt,"As you salt this strange choice in food you mutter, 'She owes (しお) me for this,' out loud to yourself. Who is she, you ask? The lady that put this salt-less food gun down in front of you before running away."
写真,しゃしん,{'真': 16.0},(Please) take a picture,Photo,"The sound a camera makes when you take a photo is like, Shashin!"
新幹線,しんかんせん,{'幹': 23.0},I'm on a shinkansen,Bullet train,"Shin means new, sen means line. Don't worry about the middle kanji for now. New line = new type of train = Bullet train = Shinkansen."
帰,かえ,{'帰': 15.0},Go home!,Return,"Wolverine wants to return home, but he can't drive himself because there's a knife in his forehead and lots of blood, so he asks his friend the car elephant (かえ) to take him. Car elephant is just an elephant mutant that has a car on his back."
髪,かみ,{'髪': 44.0},Please cut my hair,Hair,"Your long hair is your friend. It's your hair and you're so proud of it. Who gave you this hair? Probably the great 神 (かみ) of hair. You deserve this great hair."
レストラン,れすとらん,{},I've been going to the restaurant every day.,Restaurant,
書く,かく,{'書': 16.0},Write!,To write,"Why would you try to take a brush to the sun? It's almost too obvious, because you want to write something down. The reading you learned with the kanji is the on'yomi one, but this word is read with the kun'yomi, か. So just be sure to remember the kun'yomi reading to read this word in the car (か) ... or to write it, or whatever."
描く,えがく,{'描': 38.0},Please draw a picture,To draw,"The reading is the same as 書く, which is similar to drawing something (you use a writing instrument on a piece of paper, which you can do with drawing). Another reading is えがく, which is like saying 絵を書く, but combined and rendaku'd."
漫画,まんが,{'漫': 50.0},I'm drawing manga,Manga,
